,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
jan,,"6,56","6,21","6,71","9,14","9,39","11,84","15,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fev,,"4,15","6,05","6,58","8,04","9,74","10,95","12,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mar,,"5,12","5,35","5,24","7,22","9,83","9,94","3,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abr,"3,45","4,85","6,54","5,65","6,57","9,52","8,58","0,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mai,"1,76","5,53","5,51","6,66","6,71","8,71","7,20","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jun,"3,00","5,52","5,07","7,14","10,83","9,96","8,33","0,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jul,"5,36","5,51","6,20","6,39","11,43","9,11","10,08","0,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ago,"5,79","5,15","6,12","5,57","9,85","8,57","11,61","1,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set,"6,61","4,45","5,28","4,30","11,27","11,10","10,09","1,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,"5,06","9,65","4,62","3,91","10,10","10,49","10,25","1,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nov,"6,10","8,03","5,23","5,26","7,37","10,33","14,18","3,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dez,"4,51","6,80","5,69","8,19","8,34","11,62","15,75","7,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan,,,,,,,,,"16,82","18,97","35,48","68,19","20,95","25,92","28,77","41,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fev,,,,,,,,,"13,94","15,81","16,35","73,99","20,20","24,48","24,79","40,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mar,,,,,,,,,"14,40","18,09","5,90","82,18","11,79","21,62","27,58","43,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abr,,,,,,,,,"20,96","18,33","8,06","14,67","5,01","20,84","28,37","42,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mai,,,,,,,,,"23,14","18,24","16,67","7,31","6,68","24,50","26,78","42,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jun,,,,,,,,,"21,30","22,28","29,40","11,64","10,83","20,85","30,37","48,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jul,,,,,,,,,"9,93","23,02","27,40","12,62","12,14","22,08","31,01","7,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ago,,,,,,,,,"5,09","20,63","33,18","12,18","15,62","22,38","33,34","1,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set,,,,,,,,,"7,15","26,93","36,35","14,26","15,62","23,98","35,63","1,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,,,,"10,88","26,69","38,76","14,43","21,08","26,07","34,12","2,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nov,,,,,,,,,"14,93","28,15","48,47","16,92","26,48","22,89","36,00","2,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dez,,,,,,,,,"13,97","28,43","51,28","19,14","24,15","25,58","37,73","1,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan,,,,,,,,,,,,,,,,,"1,44","1,46","0,81","0,85","0,65","0,61","0,77","1,07",,,,,,,,,,,,,,,,,,,,,,,,
fev,,,,,,,,,,,,,,,,,"1,01","0,71","0,45","0,54","1,29","0,05","0,49","0,31",,,,,,,,,,,,,,,,,,,,,,,,
mar,,,,,,,,,,,,,,,,,"1,62","0,29","0,68","0,49","1,28","0,13","0,48","0,62",,,,,,,,,,,,,,,,,,,,,,,,
abr,,,,,,,,,,,,,,,,,"2,49","0,93","0,60","0,45","0,47","0,09","0,84","0,68",,,,,,,,,,,,,,,,,,,,,,,,
mai,,,,,,,,,,,,,,,,,"2,10","1,28","0,11","0,72","0,05","-0,05","0,57","0,09",,,,,,,,,,,,,,,,,,,,,,,,
jun,,,,,,,,,,,,,,,,,"2,18","1,33","0,35","0,15","0,07","0,30","0,60","0,61",,,,,,,,,,,,,,,,,,,,,,,,
jul,,,,,,,,,,,,,,,,,"2,46","1,20","0,18","-0,28","0,74","1,39","1,11","1,15",,,,,,,,,,,,,,,,,,,,,,,,
ago,,,,,,,,,,,,,,,,,"1,02","0,50","-0,03","-0,49","0,55","1,21","0,79","0,86",,,,,,,,,,,,,,,,,,,,,,,,
set,,,,,,,,,,,,,,,,,"1,17","0,02","0,10","-0,31","0,39","0,43","0,44","0,83",,,,,,,,,,,,,,,,,,,,,,,,
out,,,,,,,,,,,,,,,,,"1,40","0,38","0,29","0,11","0,96","0,16","0,94","1,57",,,,,,,,,,,,,,,,,,,,,,,,
nov,,,,,,,,,,,,,,,,,"1,51","0,34","0,15","-0,18","0,94","0,29","1,29","3,39",,,,,,,,,,,,,,,,,,,,,,,,
dez,,,,,,,,,,,,,,,,,"1,65","0,33","0,57","0,42","0,74","0,55","0,74","2,70",,,,,,,,,,,,,,,,,,,,,,,,
jan,,,,,,,,,,,,,,,,,,,,,,,,,"2,47","0,83","0,57","0,38","0,49","0,69","0,64","0,88",,,,,,,,,,,,,,,,
fev,,,,,,,,,,,,,,,,,,,,,,,,,"1,46","0,39","0,44","0,23","0,42","0,48","0,31","0,70",,,,,,,,,,,,,,,,
mar,,,,,,,,,,,,,,,,,,,,,,,,,"1,37","0,57","0,73","0,27","0,44","0,51","0,20","0,71",,,,,,,,,,,,,,,,
abr,,,,,,,,,,,,,,,,,,,,,,,,,"1,38","0,41","0,91","0,12","0,26","0,64","0,55","0,73",,,,,,,,,,,,,,,,
mai,,,,,,,,,,,,,,,,,,,,,,,,,"0,99","0,40","0,70","0,13","0,26","0,96","0,60","0,43",,,,,,,,,,,,,,,,
jun,,,,,,,,,,,,,,,,,,,,,,,,,"-0,06","0,50","-0,11","-0,07","0,31","0,91","0,42","-0,11",,,,,,,,,,,,,,,,
jul,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,73","0,03","0,11","0,32","0,58","0,23","-0,07",,,,,,,,,,,,,,,,
ago,,,,,,,,,,,,,,,,,,,,,,,,,"0,18","0,50","0,00","-0,02","0,59","0,21","0,08","-0,07",,,,,,,,,,,,,,,,
set,,,,,,,,,,,,,,,,,,,,,,,,,"0,82","0,17","0,15","0,16","0,25","0,15","0,16","0,54",,,,,,,,,,,,,,,,
out,,,,,,,,,,,,,,,,,,,,,,,,,"0,39","0,17","0,58","0,43","0,30","0,50","0,24","0,92",,,,,,,,,,,,,,,,
nov,,,,,,,,,,,,,,,,,,,,,,,,,"0,37","0,44","0,54","0,42","0,43","0,38","0,37","1,03",,,,,,,,,,,,,,,,
dez,,,,,,,,,,,,,,,,,,,,,,,,,"0,54","0,86","0,40","0,62","0,97","0,29","0,24","0,60",,,,,,,,,,,,,,,,
jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,94","0,51","0,92","0,63","1,48","1,51","0,42","0,23",,,,,,,,
fev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,54","0,39","0,52","0,64","1,16","0,95","0,24","0,18",,,,,,,,
mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,18","0,60","0,82","1,51","0,44","0,32","0,07",,,,,,,,
abr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,72","0,64","0,59","0,78","0,71","0,64","0,08","0,21",,,,,,,,
mai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,57","0,55","0,35","0,60","0,99","0,98","0,36","0,43",,,,,,,,
jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,22","0,26","0,28","0,26","0,77","0,47","-0,30","1,43",,,,,,,,
jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,43","-0,13","0,13","0,58","0,64","0,17","0,25",,,,,,,,
ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,42","0,45","0,16","0,18","0,25","0,31","-0,03","0,00",,,,,,,,
set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,45","0,63","0,27","0,49","0,51","0,08","-0,02","0,30",,,,,,,,
out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,32","0,71","0,61","0,38","0,77","0,17","0,37","0,40",,,,,,,,
nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,57","0,54","0,54","0,53","1,11","0,07","0,18","-0,25",,,,,,,,
dez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,51","0,74","0,72","0,62","0,90","0,14","0,26","0,14",,,,,,,,
jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,36","0,19","0,27","0,67","0,46","0,57",,
fev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,54","0,17","0,82","1,00","0,77","0,81",,
mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,77","0,18","0,86","1,71","0,64","0,19",,
abr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,60","-0,23","0,38","1,04","0,53","0,37",,
mai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,15","-0,25","0,96","0,45","0,36","0,46",,
jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,01","0,30","0,60","0,62","-0,10","0,25",,
jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,10","0,44","1,02","-0,60","-0,09","0,26",,
ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,12","0,36","0,88","-0,31","0,20","-0,14",,
set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,05","0,87","1,20","-0,32","0,11","0,48",,
out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,89","1,16","0,47","0,12","0,61",,
nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,54","0,95","0,84","0,38","0,10","0,33",,
dez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,22","1,46","0,73","0,69","0,55","0,48",,
